d10,length_value,length_type,speed_value,speed_type,lanes_value,lanes_type
1412674582,2.0009173201480914,float,30,str,,NoneType
22672316,1.8309764291575614,float,,NoneType,,NoneType
22893208,11.716198337399916,float,,NoneType,,NoneType
668864596,1.9741544512622278,float,30,str,,NoneType
292558504,52.665788555397,float,30,str,,NoneType
292558504,66.81976638123884,float,30,str,,NoneType
672990642,18.470064470833893,float,30,str,,NoneType
267646677,40.72349421402909,float,30,str,,NoneType
406377444,18.819670065195275,float,30,str,,NoneType
20277457,77.41366366278302,float,30,str,,NoneType
1387545019,23.750651500893852,float,30,str,,NoneType
1387545164,61.618378729241556,float,30,str,,NoneType
630209993,88.47749627763888,float,50,str,4,str
22662664,8.672662280686165,float,30,str,,NoneType
630209993,31.065540325820127,float,50,str,4,str
672971951,22.269324397906026,float,,NoneType,,NoneType
584384490,1.1931783010768857,float,30,str,,NoneType
541498077,5.0837899840437455,float,30,str,,NoneType
852078355,3.1070365834164977,float,30,str,,NoneType
23732014,2.1827264429654316,float,30,str,,NoneType
404360439,122.97671079917313,float,30,str,,NoneType
362916615,96.3146545171741,float,,NoneType,,NoneType
404360439,1.196474148216666,float,30,str,,NoneType
22662695,2.6480573609278952,float,30,str,,NoneType
297571763,77.98133928738731,float,40,str,2,str
22893217,89.57302648284411,float,30,str,,NoneType
1355682797,31.583682304162522,float,30,str,,NoneType
362916615,48.163289901533766,float,,NoneType,,NoneType
